,0,1,2
127,-1.5961039,-6.9609075,1.2238473
128,-1.5923978,-6.9599977,1.2194988
129,-1.585734,-6.9581923,1.2116315
130,-1.5686115,-6.9547343,1.1917584
131,-1.546638,-6.949012,1.1658248
132,-1.5388036,-6.946579,1.1564524
133,-1.5216688,-6.9428854,1.1366563
134,-1.5096866,-6.9412036,1.1230456
135,-1.4837873,-6.932217,1.091616
136,-1.4725231,-6.9283886,1.0779027
137,-1.4657714,-6.92641,1.0698427
138,-1.4293327,-6.915866,1.0264908
139,-1.3944793,-6.9049325,0.98466504
140,-1.3782891,-6.8995833,0.9649771
141,-1.3678081,-6.8961725,0.95232564
142,-1.3500961,-6.890162,0.93071324
143,-1.3355613,-6.885098,0.913043
144,-1.3357277,-6.88538,0.913303
145,-1.3332467,-6.8842335,0.9101999
146,-1.3159041,-6.8784924,0.8891097
147,-1.297405,-6.871716,0.8665051
148,-1.2759651,-6.8637915,0.84002477
149,-1.2667987,-6.860121,0.8286672
150,-1.2541178,-6.855232,0.81298757
151,-1.245621,-6.8516526,0.80234593
152,-1.2269082,-6.8438635,0.7790093
153,-1.2059615,-6.834967,0.7528015
154,-1.1973594,-6.8311167,0.7420159
155,-1.1940463,-6.8296843,0.73781186
156,-1.1839253,-6.8248353,0.72471315
157,-1.18265,-6.824276,0.7230874
158,-1.1809102,-6.8233814,0.72083205
159,-1.1772106,-6.8216696,0.7161089
160,-1.1751571,-6.8209567,0.7135604
161,-1.1633112,-6.8147373,0.6982915
162,-1.1547787,-6.8105483,0.6873855
163,-1.1527004,-6.8090315,0.68459755
164,-1.1447191,-6.8042145,0.67411536
165,-1.1402307,-6.8016872,0.6682789
166,-1.1311867,-6.7968187,0.65654975
167,-1.1287458,-6.795422,0.65336436
168,-1.1238003,-6.792583,0.6469429
169,-1.1144773,-6.78698,0.6347615
170,-1.1136893,-6.7866273,0.63376325
171,-1.1133511,-6.786563,0.6333731
172,-1.1120435,-6.7859225,0.6316775
173,-1.1111752,-6.7854066,0.6305452
174,-1.1089408,-6.784033,0.6276387
175,-1.1069986,-6.7828994,0.6251055
176,-1.1030362,-6.780684,0.6199412
177,-1.0964158,-6.7768116,0.6113061
178,-1.0838686,-6.769159,0.5948502
179,-1.062112,-6.7552667,0.56610787
180,-1.0609608,-6.754485,0.5645826
181,-1.055691,-6.7509556,0.5576213
182,-1.0377254,-6.74001,0.5341637
183,-1.0237328,-6.7309093,0.51571083
184,-1.0214543,-6.7294407,0.51268923
185,-1.0124638,-6.7234735,0.5008067
186,-1.0067528,-6.719515,0.4932226
187,-0.99971306,-6.7146378,0.48384795
188,-0.99405396,-6.7107244,0.47633493
189,-0.9921786,-6.709361,0.4738351
190,-0.9766191,-6.698029,0.45304346
191,-0.96671593,-6.690742,0.43988347
192,-0.94533604,-6.6749706,0.41170323
193,-0.938226,-6.669524,0.40222967
194,-0.9334521,-6.666022,0.395943
